Trial number,Fixation Onset NEV,Image Onset NEV,Stim on/off NEV,Stim onset NEV,Stim offset NEV,Response value NEV,Reaction onset NEV,Congruent Value NEV,Valence Value NEV,Reaction time NEV,TrialNum,Delay1,Delay2,TrialComplete,TimeImageOnset,Noname,ColorLev,TimeTrial,BlockNumber,noname,noname,noname,noname,noname,TrialTypeDesignation
42.0,3417.801,3418.305,0.0,0.0,0.0,100.0,,,1.0,,42.0,2.5,2.25,42.0,,,1.0,,1.0,,,,,,1.0
43.0,3419.433,3419.938,0.0,0.0,0.0,100.0,,,1.0,,43.0,1.0,2.0,43.0,,,1.0,,1.0,,,,,,1.0
44.0,3420.942,3421.447,0.0,0.0,0.0,100.0,,,,,44.0,1.25,3.25,44.0,,,0.0,,1.0,,,,,,1.0
45.0,3423.077,3423.58,0.0,0.0,0.0,100.0,,,,,45.0,1.75,2.5,45.0,,,0.0,,1.0,,,,,,1.0
46.0,3424.835,3425.338,0.0,0.0,0.0,100.0,,,1.0,,46.0,1.25,2.75,46.0,,,1.0,,1.0,,,,,,1.0
47.0,3426.718,3427.222,0.0,0.0,0.0,100.0,,,1.0,,47.0,1.75,2.75,47.0,,,1.0,,1.0,,,,,,1.0
48.0,3428.602,3429.106,0.0,0.0,0.0,100.0,,,,,48.0,3.0,3.0,48.0,,,0.0,,1.0,,,,,,1.0
49.0,3430.61,3431.114,0.0,0.0,0.0,100.0,,,,,49.0,2.25,1.25,49.0,,,0.0,,1.0,,,,,,1.0
50.0,3431.743,3432.246,0.0,0.0,0.0,100.0,,,,,50.0,1.5,3.5,50.0,,,0.0,,1.0,,,,,,1.0
51.0,3434.001,3434.504,0.0,0.0,0.0,100.0,,,1.0,,51.0,1.25,3.25,51.0,,,1.0,,1.0,,,,,,1.0
52.0,3436.133,3436.636,0.0,0.0,0.0,100.0,,,,,52.0,2.5,3.75,52.0,,,0.0,,1.0,,,,,,1.0
53.0,3438.518,3439.022,0.0,0.0,0.0,100.0,,,,,53.0,1.0,2.25,53.0,,,0.0,,1.0,,,,,,1.0
