Trial number,Fixation Onset NEV,Image Onset NEV,Stim on/off NEV,Stim onset NEV,Stim offset NEV,Response value NEV,Reaction onset NEV,Congruent Value NEV,Valence Value NEV,Reaction time NEV,TrialNum,Delay1,Delay2,TrialComplete,TimeImageOnset,ColorLev,TimeRec,TimeTrial,BlockNumber,TrialTypeDesignation
88.0,171.046,171.852,0.0,0.0,0.0,100.0,,1.0,2.0,,45.0,0.8,0.8,45.0,,,,,2.0,2.0
89.0,171.852,172.656,0.0,0.0,0.0,100.0,,1.0,2.0,,46.0,0.8,0.8,46.0,,,,,2.0,2.0
90.0,172.656,173.461,0.0,0.0,0.0,100.0,,1.0,2.0,,47.0,0.8,0.8,47.0,,,,,2.0,2.0
91.0,173.461,174.267,0.0,0.0,0.0,100.0,,1.0,2.0,,48.0,0.8,0.8,48.0,,,,,2.0,2.0
92.0,174.267,175.071,0.0,0.0,0.0,100.0,,1.0,2.0,,49.0,0.8,0.8,49.0,,,,,2.0,2.0
93.0,175.071,175.876,0.0,0.0,0.0,100.0,,1.0,2.0,,50.0,0.8,0.8,50.0,,,,,2.0,2.0
94.0,175.876,176.681,0.0,0.0,0.0,100.0,,1.0,2.0,,51.0,0.8,0.8,51.0,,,,,2.0,2.0
95.0,176.681,177.485,0.0,0.0,0.0,100.0,,1.0,2.0,,52.0,0.8,0.8,52.0,,,,,2.0,2.0
96.0,177.485,178.291,0.0,0.0,0.0,100.0,,1.0,2.0,,53.0,0.8,0.8,53.0,,,,,2.0,2.0
97.0,178.291,179.096,0.0,0.0,0.0,100.0,,1.0,2.0,,54.0,0.8,0.8,54.0,,,,,2.0,2.0
98.0,179.096,179.9,0.0,0.0,0.0,100.0,,1.0,2.0,,55.0,0.8,0.8,55.0,,,,,2.0,2.0
99.0,179.9,180.705,0.0,0.0,0.0,100.0,,1.0,2.0,,56.0,0.8,0.8,56.0,,,,,2.0,2.0
100.0,180.705,181.511,0.0,0.0,0.0,100.0,,1.0,2.0,,57.0,0.8,0.8,57.0,,,,,2.0,2.0
101.0,181.511,182.32,0.0,0.0,0.0,100.0,,1.0,2.0,,58.0,0.8,0.8,58.0,,,,,2.0,2.0
102.0,182.32,183.126,0.0,0.0,0.0,100.0,,1.0,2.0,,59.0,0.8,0.8,59.0,,,,,2.0,2.0
103.0,183.126,183.932,0.0,0.0,0.0,100.0,,1.0,2.0,,60.0,0.8,0.8,60.0,,,,,2.0,2.0
104.0,183.932,184.737,0.0,0.0,0.0,100.0,,1.0,2.0,,61.0,0.8,0.8,61.0,,,,,2.0,2.0
105.0,184.737,185.543,0.0,0.0,0.0,100.0,,1.0,2.0,,62.0,0.8,0.8,62.0,,,,,2.0,2.0
106.0,185.543,186.348,0.0,0.0,0.0,100.0,,1.0,2.0,,63.0,0.8,0.8,63.0,,,,,2.0,2.0
107.0,186.348,187.153,0.0,0.0,0.0,100.0,,1.0,2.0,,64.0,0.8,0.8,64.0,,,,,2.0,2.0
108.0,187.153,187.958,0.0,0.0,0.0,100.0,,1.0,2.0,,65.0,0.8,0.8,65.0,,,,,2.0,2.0
109.0,187.958,188.763,0.0,0.0,0.0,100.0,,1.0,2.0,,66.0,0.8,0.8,66.0,,,,,2.0,2.0
110.0,188.763,189.568,0.0,0.0,0.0,100.0,,1.0,2.0,,67.0,0.8,0.8,67.0,,,,,2.0,2.0
111.0,189.568,190.372,0.0,0.0,0.0,100.0,,1.0,2.0,,68.0,0.8,0.8,68.0,,,,,2.0,2.0
112.0,190.372,191.179,0.0,0.0,0.0,100.0,,1.0,2.0,,69.0,0.8,0.8,69.0,,,,,2.0,2.0
113.0,191.179,191.984,0.0,0.0,0.0,100.0,,1.0,2.0,,70.0,0.8,0.8,70.0,,,,,2.0,2.0
114.0,191.984,192.79,0.0,0.0,0.0,100.0,,1.0,2.0,,71.0,0.8,0.8,71.0,,,,,2.0,2.0
115.0,192.79,193.595,0.0,0.0,0.0,100.0,,1.0,2.0,,72.0,0.8,0.8,72.0,,,,,2.0,2.0
116.0,193.595,194.399,0.0,0.0,0.0,100.0,,1.0,2.0,,73.0,0.8,0.8,73.0,,,,,2.0,2.0
117.0,194.399,195.206,0.0,0.0,0.0,100.0,,1.0,2.0,,74.0,0.8,0.8,74.0,,,,,2.0,2.0
118.0,195.206,196.011,0.0,0.0,0.0,100.0,,1.0,2.0,,75.0,0.8,0.8,75.0,,,,,2.0,2.0
119.0,196.011,196.816,0.0,0.0,0.0,100.0,,1.0,2.0,,76.0,0.8,0.8,76.0,,,,,2.0,2.0
120.0,196.816,197.62,0.0,0.0,0.0,100.0,,1.0,2.0,,77.0,0.8,0.8,77.0,,,,,2.0,2.0
121.0,197.62,198.425,0.0,0.0,0.0,100.0,,1.0,2.0,,78.0,0.8,0.8,78.0,,,,,2.0,2.0
122.0,198.425,199.229,0.0,0.0,0.0,100.0,,1.0,2.0,,79.0,0.8,0.8,79.0,,,,,2.0,2.0
123.0,199.229,200.034,0.0,0.0,0.0,100.0,,1.0,2.0,,80.0,0.8,0.8,80.0,,,,,2.0,2.0
124.0,200.034,200.841,0.0,0.0,0.0,100.0,,1.0,2.0,,81.0,0.8,0.8,81.0,,,,,2.0,2.0
125.0,200.841,201.647,0.0,0.0,0.0,100.0,,1.0,2.0,,82.0,0.8,0.8,82.0,,,,,2.0,2.0
126.0,201.647,202.451,0.0,0.0,0.0,100.0,,1.0,2.0,,83.0,0.8,0.8,83.0,,,,,2.0,2.0
127.0,202.451,203.257,0.0,0.0,0.0,100.0,,1.0,2.0,,84.0,0.8,0.8,84.0,,,,,2.0,2.0
128.0,203.257,204.062,0.0,0.0,0.0,100.0,,1.0,2.0,,85.0,0.8,0.8,85.0,,,,,2.0,2.0
129.0,204.062,204.867,0.0,0.0,0.0,100.0,,1.0,2.0,,86.0,0.8,0.8,86.0,,,,,2.0,2.0
130.0,204.867,205.672,0.0,0.0,0.0,100.0,,1.0,2.0,,87.0,0.8,0.8,87.0,,,,,2.0,2.0
131.0,205.672,206.476,0.0,0.0,0.0,100.0,,1.0,2.0,,88.0,0.8,0.8,88.0,,,,,2.0,2.0
132.0,206.476,207.281,0.0,0.0,0.0,100.0,,1.0,2.0,,89.0,0.8,0.8,89.0,,,,,2.0,2.0
133.0,207.281,208.086,0.0,0.0,0.0,100.0,,1.0,2.0,,90.0,0.8,0.8,90.0,,,,,2.0,2.0
134.0,208.086,208.893,0.0,0.0,0.0,100.0,,1.0,2.0,,91.0,0.8,0.8,91.0,,,,,2.0,2.0
135.0,208.893,209.698,0.0,0.0,0.0,100.0,,1.0,2.0,,92.0,0.8,0.8,92.0,,,,,2.0,2.0
136.0,209.698,210.503,0.0,0.0,0.0,100.0,,1.0,2.0,,93.0,0.8,0.8,93.0,,,,,2.0,2.0
137.0,210.503,211.308,0.0,0.0,0.0,100.0,,1.0,2.0,,94.0,0.8,0.8,94.0,,,,,2.0,2.0
138.0,211.308,212.113,0.0,0.0,0.0,100.0,,1.0,2.0,,95.0,0.8,0.8,95.0,,,,,2.0,2.0
139.0,212.113,212.918,0.0,0.0,0.0,100.0,,1.0,2.0,,96.0,0.8,0.8,96.0,,,,,2.0,2.0
140.0,212.918,213.723,0.0,0.0,0.0,100.0,,1.0,2.0,,97.0,0.8,0.8,97.0,,,,,2.0,2.0
141.0,213.723,214.527,0.0,0.0,0.0,100.0,,1.0,2.0,,98.0,0.8,0.8,98.0,,,,,2.0,2.0
142.0,214.527,215.332,0.0,0.0,0.0,100.0,,1.0,2.0,,99.0,0.8,0.8,99.0,,,,,2.0,2.0
143.0,215.332,281.641,0.0,0.0,0.0,100.0,,1.0,2.0,,100.0,0.8,0.8,100.0,,,,,2.0,2.0
144.0,281.641,282.778,0.0,0.0,0.0,100.0,,1.0,2.0,,1.0,3.25,1.25,1.0,0.52237,0.0,360564.4927,1.1488,3.0,1.0
145.0,282.778,285.039,0.0,0.0,0.0,100.0,,1.0,2.0,,2.0,2.25,3.5,2.0,1.6576,0.0,360566.7523,3.4084,3.0,1.0
146.0,285.039,287.423,0.0,0.0,0.0,100.0,,1.0,2.0,,3.0,3.25,3.75,3.0,3.9178,1.0,360569.138,5.7941,3.0,1.0
147.0,287.423,288.446,0.0,0.0,0.0,100.0,,1.0,2.0,,4.0,2.75,1.0,4.0,6.3034,1.0,360570.1483,6.8044,3.0,1.0
148.0,288.446,290.831,0.0,0.0,0.0,100.0,,1.0,2.0,,5.0,3.5,3.75,5.0,7.3174,0.0,360572.5393,9.1956,3.0,1.0
149.0,290.831,292.965,0.0,0.0,0.0,100.0,,1.0,2.0,,6.0,3.0,3.25,6.0,9.7033,0.0,360574.6732,11.3293,3.0,1.0
150.0,292.965,294.473,0.0,0.0,0.0,100.0,,1.0,2.0,,7.0,3.0,2.0,7.0,11.8373,1.0,360576.1819,12.838,3.0,1.0
151.0,294.473,295.732,0.0,0.0,0.0,100.0,,1.0,2.0,,8.0,2.75,1.5,8.0,13.3454,1.0,360577.4401,14.0962,3.0,1.0
152.0,295.732,296.74,0.0,0.0,0.0,100.0,,1.0,2.0,,9.0,3.0,1.0,9.0,14.6036,1.0,360578.4484,15.1045,3.0,1.0
153.0,296.74,297.75,0.0,0.0,0.0,100.0,,1.0,2.0,,10.0,1.75,1.0,10.0,15.6124,1.0,360579.4569,16.113,3.0,1.0
154.0,297.75,299.886,0.0,0.0,0.0,100.0,,1.0,2.0,,11.0,1.25,3.25,11.0,16.6213,0.0,360581.5911,18.2472,3.0,1.0
155.0,299.886,301.269,0.0,0.0,0.0,100.0,,1.0,2.0,,12.0,3.0,1.75,12.0,18.7565,0.0,360582.9759,19.632,3.0,1.0
156.0,301.269,302.277,0.0,0.0,0.0,100.0,,1.0,2.0,,13.0,3.75,1.0,13.0,20.1392,1.0,360583.9839,20.6401,3.0,1.0
157.0,302.277,303.787,0.0,0.0,0.0,100.0,,1.0,2.0,,14.0,2.25,2.0,14.0,21.1469,1.0,360585.4918,22.148,3.0,1.0
158.0,303.787,305.92,0.0,0.0,0.0,100.0,,1.0,2.0,,15.0,3.25,3.25,15.0,22.6559,0.0,360587.6257,24.2819,3.0,1.0
159.0,305.92,307.554,0.0,0.0,0.0,100.0,,1.0,2.0,,16.0,1.5,2.25,16.0,24.79,0.0,360589.2595,25.9156,3.0,1.0
160.0,307.554,309.437,0.0,0.0,0.0,100.0,,1.0,2.0,,17.0,2.25,2.75,17.0,26.4228,1.0,360591.1426,27.7988,3.0,1.0
161.0,309.437,311.57,0.0,0.0,0.0,100.0,,1.0,2.0,,18.0,3.0,3.25,18.0,28.3056,1.0,360593.2754,29.9316,3.0,1.0
162.0,311.57,313.579,0.0,0.0,0.0,100.0,,1.0,2.0,,19.0,1.75,3.0,19.0,30.4393,0.0,360595.2842,31.9403,3.0,1.0
163.0,313.579,314.712,0.0,0.0,0.0,100.0,,1.0,2.0,,20.0,2.75,1.25,20.0,32.448,0.0,360596.4175,33.0736,3.0,1.0
164.0,314.712,316.344,0.0,0.0,0.0,100.0,,1.0,2.0,,21.0,1.25,2.25,21.0,33.5809,0.0,360598.0505,34.7065,3.0,1.0
165.0,316.344,317.852,0.0,0.0,0.0,100.0,,1.0,2.0,,22.0,3.75,2.0,22.0,35.2137,0.0,360599.5589,36.215,3.0,1.0
166.0,317.852,319.11,0.0,0.0,0.0,100.0,,1.0,2.0,,23.0,2.75,1.5,23.0,36.7251,1.0,360600.82,37.4761,3.0,1.0
