Trial number,Fixation Onset NEV,Image Onset NEV,Stim on/off NEV,Stim onset NEV,Stim offset NEV,Response value NEV,Reaction onset NEV,Congruent Value NEV,Valence Value NEV,Reaction time NEV,Noname,TrialNum,Delay1,Delay2,TrialComplete,TimeImageOnset,ColorLev,TimeRec,TimeTrial,BlockNumber,noname,noname,noname,noname,TrialTypeDesignation
52.0,501.443,501.961,0.0,0.0,0.0,100.0,,,0.0,,,32.0,1.5,1.75,32.0,51.1015,0.0,359403.0173,51.9772,2.0,,,,,1.0
53.0,502.845,503.362,0.0,0.0,0.0,100.0,,,0.0,,,33.0,2.75,2.25,33.0,52.503,0.0,359404.6687,53.6287,2.0,,,,,1.0
54.0,504.497,505.014,0.0,0.0,0.0,100.0,,,0.0,,,34.0,2.0,3.25,34.0,54.1547,0.0,359406.8204,55.7804,2.0,,,,,1.0
55.0,506.649,507.166,0.0,0.0,0.0,100.0,,,0.0,,,35.0,2.75,2.5,35.0,56.3068,0.0,359408.5976,57.5576,2.0,,,,,1.0
56.0,508.434,508.951,0.0,0.0,0.0,100.0,,,0.0,,,36.0,3.75,1.75,36.0,58.0918,0.0,359410.0076,58.9675,2.0,,,,,1.0
57.0,509.835,510.353,0.0,0.0,0.0,100.0,,,1.0,,,37.0,3.25,3.25,37.0,59.4934,1.0,359412.1591,61.119,2.0,,,,,1.0
58.0,511.987,512.505,0.0,0.0,0.0,100.0,,,0.0,,,38.0,2.0,2.5,38.0,61.6455,0.0,359413.936,62.896,2.0,,,,,1.0
59.0,513.773,514.29,0.0,0.0,0.0,100.0,,,1.0,,,39.0,1.0,1.0,39.0,63.4305,1.0,359414.9713,63.9312,2.0,,,,,1.0
60.0,514.807,515.324,0.0,0.0,0.0,100.0,,,0.0,,,40.0,2.5,3.25,40.0,64.465,0.0,359417.1304,66.0904,2.0,,,,,1.0
61.0,516.959,517.476,0.0,0.0,0.0,100.0,,,0.0,,,41.0,3.75,1.25,41.0,66.6171,0.0,359418.2826,67.2425,2.0,,,,,1.0
62.0,518.11,518.627,0.0,0.0,0.0,100.0,,,1.0,,,42.0,2.5,2.25,42.0,67.7681,1.0,359419.9338,68.8938,2.0,,,,,1.0
63.0,519.762,520.279,0.0,0.0,0.0,100.0,,,1.0,,,43.0,1.0,2.0,43.0,69.4199,1.0,359421.4607,70.4207,2.0,,,,,1.0
64.0,521.297,521.814,0.0,0.0,0.0,100.0,,,0.0,,,44.0,1.25,3.25,44.0,70.9547,0.0,359423.6203,72.5803,2.0,,,,,1.0
