Trial number,Fixation Onset NEV,Image Onset NEV,NoName,Stim on/off NEV,Stim onset NEV,Stim offset NEV,Congruent Value NEV,Valence Value NEV,Reaction time NEV,NoName1,NoName2,TrialNum,Delay1,Delay2,TrialComplete,TimeImageOnset,ColorLev,TimeRec,TimeTrial,StartTrial,CrossStart,ResponseTime,BlockNumber,TrialTypeDesignation
267.0,849.502,855.024,855.525,1.0,849.502,853.506,854.02,0.0,0.514,849.502,855.525,8.0,2.75,1.5,8.0,1.5177,0.0,181792.1036,67.031,60.9903,65.0128,181664.5961,4.0,2.0
268.0,857.059,862.582,863.083,1.0,857.059,861.063,861.924,0.0,0.861,857.059,863.083,9.0,3.0,1.0,9.0,1.5179,0.0,181799.6614,74.5889,68.5483,72.5701,181657.3844,4.0,2.0
269.0,864.117,869.639,870.14,1.0,864.117,868.12,868.781,0.0,0.661,864.117,870.14,10.0,1.75,1.0,10.0,1.5181,0.0,181806.7185,81.646,75.6056,79.627,181650.1266,4.0,2.0
270.0,871.174,876.696,877.197,1.0,871.174,875.178,875.732,0.0,0.554,871.174,877.197,11.0,1.25,3.25,11.0,1.5178,0.0,181813.7755,88.703,82.6626,86.6843,181642.9642,4.0,2.0
271.0,880.483,886.022,886.523,1.0,880.483,884.504,885.116,1.0,0.612,880.483,886.523,12.0,3.0,1.75,12.0,1.5175,1.0,181823.1015,98.029,91.9699,96.0106,181633.7147,4.0,2.0
272.0,888.308,893.829,894.33,1.0,888.308,892.311,892.86,0.0,0.549,888.308,894.33,13.0,3.75,1.0,13.0,1.5178,0.0,181830.9089,105.8364,99.7957,103.818,181625.8253,4.0,2.0
273.0,895.365,900.887,901.388,1.0,895.365,899.369,900.029,1.0,0.66,895.365,901.388,14.0,2.25,2.0,14.0,1.5178,1.0,181837.9663,112.8938,106.8535,110.8751,181618.8786,4.0,2.0
274.0,903.423,908.945,909.446,1.0,903.423,907.427,907.908,0.0,0.481,903.423,909.446,15.0,3.25,3.25,15.0,1.5178,0.0,181846.0243,120.9518,114.9105,118.9332,181610.6434,4.0,2.0
275.0,912.732,918.254,918.755,1.0,912.732,916.736,917.309,1.0,0.573,912.732,918.755,16.0,1.5,2.25,16.0,1.5181,1.0,181855.3336,130.261,124.2187,128.2421,181601.4257,4.0,2.0
276.0,921.04,926.562,927.064,1.0,921.04,925.044,925.557,0.0,0.513,921.04,927.064,17.0,2.25,2.75,17.0,1.5178,0.0,181863.6419,138.5694,132.528,136.5507,181593.056,4.0,2.0
277.0,929.849,935.388,935.889,1.0,929.849,933.87,934.437,1.0,0.567,929.849,935.889,18.0,3.0,3.25,18.0,1.5178,1.0,181872.4674,147.3949,141.3363,145.3761,181584.3025,4.0,2.0
278.0,939.158,944.681,945.182,1.0,939.158,943.162,944.125,1.0,0.963,939.158,945.182,19.0,1.75,3.0,19.0,1.518,1.0,181881.76,156.6875,150.6617,154.6686,181575.3722,4.0,2.0
